acqMode,acqName,acqfromDt,acqtoDt,afterAcqSharesNo,afterAcqSharesPer,befAcqSharesNo,befAcqSharesPer,company,date,intimDt,personCategory,secAcq,secType,secVal,securitiesTypePost,symbol,tdpTransactionType
Market Sale,Bajaj Auto Holdings Limited,2026-04-27,2026-04-27,Nil,0,2090050,0.13,Bajaj Finserv Limited,2026-04-30,2026-04-29,Promoter Group,2090050,Equity Shares,3700779428,Equity Shares,BAJAJFINSV,Sell
Market Purchase,Bajaj Holdings & Investment Limited,2026-04-27,2026-04-27,614832190,38.41,612742140,38.28,Bajaj Finserv Limited,2026-04-30,2026-04-29,Promoters,2090050,Equity Shares,3700224520,Equity Shares,BAJAJFINSV,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-04-28,2026-04-29,1199950079,44.22,1199766406,44.21,HCL Technologies Limited,2026-04-30,2026-04-30,Promoters,183673,Equity Shares,220277165,Equity Shares,HCLTECH,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-04-24,2026-04-24,1199766406,44.21,1199665350,44.21,HCL Technologies Limited,2026-04-30,2026-04-28,Promoters,101056,Equity Shares,122655032,Equity Shares,HCLTECH,Buy
Market Sale,Satya Murthy Sivalenka,2026-04-29,2026-04-29,32651000,54.83,34299000,57.59,Sameera Agro And Infra Limited,2026-04-30,2026-04-30,Promoters,1648000,Equity Shares,14008000,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-29,2026-04-29,1303250,11.72,1307250,11.76,Parin Enterprises Limited,2026-04-30,2026-04-30,Promoter Group,4000,Equity Shares,2488000,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-28,2026-04-28,1307250,11.76,1312000,11.8,Parin Enterprises Limited,2026-04-30,2026-04-30,Promoter Group,4750,Equity Shares,2951033,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-27,2026-04-27,1312000,11.8,1323250,11.9,Parin Enterprises Limited,2026-04-30,2026-04-29,Promoter Group,11250,Equity Shares,6993788,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-28,2026-04-28,34299000,57.59,35027000,58.82,Sameera Agro And Infra Limited,2026-04-29,2026-04-29,Promoters,728000,Equity Shares,6188000,Equity Shares,SAIFL,Sell
Market Sale,Kinex India Private Limited,2026-03-30,2026-03-30,200478565,65.82,205578565,67.5,Bartronics India Limited,2026-04-28,2026-04-01,Promoters,5100000,Equity Shares,35718620,Equity Shares,ASMS,Sell
Market Sale,Kinex India Private Limited,2026-03-25,2026-03-25,205578565,67.5,206596947,67.83,Bartronics India Limited,2026-04-28,2026-03-26,Promoters,1018382,Equity Shares,8098807,Equity Shares,ASMS,Sell
Market Sale,KURJIBHAI PREMJIBHAI RUPARELIYA,2026-04-24,2026-04-24,136815762,53.92,148002746,58.33,Aqylon Nexus Limited,2026-04-27,2026-04-25,Promoters,11186984,Equity Shares,571431143,Equity Shares,AQYLON,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-22,2026-04-23,3779000,6.34,5380000,9.03,Sameera Agro And Infra Limited,2026-04-25,2026-04-25,Promoters,1601000,Equity Shares,15369600,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-24,2026-04-24,1323250,11.9,1332250,11.98,Parin Enterprises Limited,2026-04-25,2026-04-25,Promoter Group,9000,Equity Shares,5630670,Equity Shares,PARIN,Sell
Market Purchase,Vasrsha Biswajit Adhikari,2026-03-20,2026-03-20,10000,0,Nil,0,Mangalam Global Enterprise Limited,2026-04-24,2026-04-22,Director,10000,Equity Shares,104400,Equity Shares,MGEL,Buy
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-22,2026-04-22,1340500,12.05,1354500,12.18,Parin Enterprises Limited,2026-04-24,2026-04-24,Promoter Group,14000,Equity Shares,8458940,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-23,2026-04-23,1332250,11.98,1340500,12.05,Parin Enterprises Limited,2026-04-24,2026-04-24,Promoter Group,8250,Equity Shares,5042730,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-21,2026-04-22,5380000,9.03,5648000,9.48,Sameera Agro And Infra Limited,2026-04-22,2026-04-22,Promoters,268000,Equity Shares,2650520,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-20,2026-04-20,1363500,12.26,1372000,12.34,Parin Enterprises Limited,2026-04-22,2026-04-21,Promoter Group,8500,Equity Shares,5100000,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-21,2026-04-21,1354500,12.18,1363500,12.26,Parin Enterprises Limited,2026-04-22,2026-04-22,Promoter Group,9000,Equity Shares,5481000,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-15,2026-04-20,5648000,9.48,7216000,11.6,Sameera Agro And Infra Limited,2026-04-21,2026-04-20,Promoters,1568000,Equity Shares,16746240,Equity Shares,SAIFL,Sell
Market Purchase,Mayank Ghota,2026-03-02,2026-03-02,1223,0.01,1009,0,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,214,Equity Shares,248856,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-04,2026-03-04,1248,0.01,1223,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,25,Equity Shares,27332,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-05,2026-03-05,1268,0.01,1248,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,20,Equity Shares,21900,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-10,2026-03-10,1611,0.01,1561,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,50,Equity Shares,50199,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-12,2026-03-12,1661,0.01,1611,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,50,Equity Shares,50494,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-13,2026-03-13,1759,0.01,1661,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,98,Equity Shares,96060,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-16,2026-03-16,1859,0.01,1759,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,100,Equity Shares,96800,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-02-04,2026-02-25,1009,0,Nil,0,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,1009,Equity Shares,1240101,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-06,2026-03-06,1561,0.01,1268,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,293,Equity Shares,300637,Equity Shares,DPABHUSHAN,Buy
Market Sale,ZULFIQAR AHMAD QURASHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,MOHAMMAD ASHRAF QURESHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,MOHAMMAD MEHMOOD QURESHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,GULZAR AHMAD,2026-04-09,2026-04-10,60897987,12.16,65154530,13.01,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,4256543,Equity Shares,76617774,Equity Shares,HMAAGRO,Sell
Market Sale,WAJID AHMED,2026-04-09,2026-04-10,42575347,8.5,50076977,10,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7501630,Equity Shares,135029340,Equity Shares,HMAAGRO,Sell
Market Sale,Mukunda Raghavendra,2026-01-19,2026-03-16,642062,1.79,706562,1.98,Newjaisa Technologies Limited,2026-04-13,2026-04-10,Promoters,64500,Equity Shares,1073920,Equity Shares,NEWJAISA,Sell
Market Purchase,Mukesh Sangla,2026-03-25,2026-03-30,1169885,3.97,1125142,3.82,Signet Industries Limited,2026-04-13,2026-03-30,Director,44743,Equity Shares,1994951,Equity Shares,SIGIND,Buy
Market Purchase,Mukesh Sangla,2026-03-23,2026-03-23,1125142,3.82,1123432,3.82,Signet Industries Limited,2026-04-13,2026-03-25,Director,1710,Equity Shares,71632,Equity Shares,SIGIND,Buy
Market Sale,Nilesh Babubhai Detroja,2026-03-05,2026-03-05,877276,4.22,925878,4.45,Lexus Granito (India) Limited,2026-04-11,2026-04-11,Promoters,48602,Equity Shares,1885757,Equity Shares,LEXUS,Sell
Market Sale,Nilesh Babubhai Detroja,2026-02-23,2026-02-23,925878,4.52,964511,4.71,Lexus Granito (India) Limited,2026-04-11,2026-04-11,Promoters,38633,Equity Shares,1487370,Equity Shares,LEXUS,Sell
Market Sale,Dhirendra Gautamkumar Chopra,2026-03-24,2026-03-24,10000474,5.65,16390866,9.26,Osia Hyper Retail Limited,2026-04-10,2026-04-06,Promoters,6390392,Equity Shares,28884571,Equity Shares,OSIAHYPER,Sell
