Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
Client,206633,110812,2559885,357432,2290251,1920424,2486062,2311413,2482030,802340,1426779,1116398,10261563,7808896,21-07-2025
DII,66559,29360,197637,4185557,5911,14283,0,0,2086,415,409798,0,286891,4624715,21-07-2025
FII,31538,176782,3438974,2101582,350360,474567,351746,322862,177034,188378,260360,191932,4660850,3405263,21-07-2025
Pro,41845,29621,798047,349972,1033307,1052479,842021,827477,966980,1049116,1531193,731919,4941773,4312203,21-07-2025
TOTAL,346575,346575,6994543,6994543,3679829,3461752,3679829,3461752,3628130,2040249,3628130,2040249,20151078,20151078,21-07-2025
Client,207135,109190,2593875,367124,2841025,1996706,2864195,2405211,2549349,807623,1443906,1142020,10995713,8331646,22-07-2025
DII,65840,29560,204186,4180362,5911,14283,0,0,2086,415,413307,0,292721,4623229,22-07-2025
FII,30254,179708,3426583,2117650,404137,528219,424169,350391,181416,194032,265671,196946,4764640,3534534,22-07-2025
Pro,43873,28644,816220,375728,1097819,1080196,1060528,863802,979918,1092407,1589885,755511,5110433,4674098,22-07-2025
TOTAL,347102,347102,7040864,7040864,4348891,3619404,4348891,3619404,3712769,2094477,3712769,2094477,21163507,21163507,22-07-2025
Client,204737,103216,2592154,363630,2421661,2557331,2641246,2842075,2508898,854341,1458971,1160030,11139122,8569169,23-07-2025
DII,65056,31260,207369,4199042,5911,14283,0,0,2086,415,417396,0,295120,4647698,23-07-2025
FII,32171,177728,3438153,2109065,418425,540459,402265,404952,184995,195454,267249,199183,4809657,3560442,23-07-2025
Pro,38114,27874,828876,394815,1100090,1279789,902577,1144834,1006469,1087988,1558832,778985,5341326,4807917,23-07-2025
TOTAL,340078,340078,7066552,7066552,3946087,4391862,3946087,4391862,3702448,2138198,3702448,2138198,21585226,21585226,23-07-2025
Client,210893,102109,2608203,362911,1954516,1449525,1967640,1816476,2583576,832794,1455247,1167648,9639507,6872032,24-07-2025
DII,65944,37689,211222,4194286,1570,14963,0,0,2452,415,422806,0,296566,4654781,24-07-2025
FII,30674,176212,3405753,2094647,337211,456262,310417,263558,186768,197657,269679,199619,4614325,3314132,24-07-2025
Pro,37471,28972,841461,414795,728807,767856,744046,608571,995620,1110237,1620684,773836,4481452,4190904,24-07-2025
TOTAL,344982,344982,7066639,7066639,3022103,2688606,3022103,2688606,3768416,2141103,3768416,2141103,19031849,19031849,24-07-2025
Client,217910,101463,2594930,359607,2803065,1538984,2736743,2014106,2629162,778123,1428417,1144868,10562174,7785205,25-07-2025
